title,n_shows,n_distinct_composers,n_distinct_places,n_distinct_librettist
Il geloso in cimento,9,1,9,2
Il talismano,3,1,3,2
Achille in Sciro,1,1,1,1
Adelaide di Guesclino,3,1,3,1
Adriano in Siria,2,2,2,1
Alcide al bivio,1,1,1,1
Alessandro nell'Indie,2,2,2,1
Antigono,4,2,2,1
Artaserse,4,3,3,1
Axur re d'Ormus,9,1,6,1
Azor re di Kibinga,1,1,1,1
Caio Mario,1,1,1,1
Catone in Utica,1,1,1,1
Che originali,5,1,4,1
Così fan tutte,13,1,7,1
Didone abbandonata,4,3,2,1
Don Giovanni,8,1,6,1
Elfrida,6,1,3,1
Elisa,2,1,2,1
Elvira,2,1,1,1
Emma di Resburgo,1,1,1,1
Eraldo ed Emma,2,1,2,1
Ezio,1,1,1,1
Ginevra di Scozia,4,1,4,1
Gli Orazi ed i Curiazi,6,1,4,1
Gli sciti,1,1,1,1
I cherusci,1,1,1,1
I Filosofi immaginari,6,1,5,1
Il burbero di buon cuore,1,1,1,1
Il crociato in Egitto,3,1,3,1
Il curioso indiscreto,1,1,1,1
Il Demetrio,1,1,1,1
Il Demofoonte,1,1,1,1
Il finto principe,1,1,1,1
Il matrimonio per inganno,1,1,1,1
Il matrimonio segreto,8,1,7,1
Il mondo della luna,2,1,1,1
Il re pastore,1,1,1,1
Il servo padrone,1,1,1,1
Ipermestra,1,1,1,1
Isabella e Rodrigo,2,1,2,1
L' Amor coniugale,2,1,2,1
L' Avaro,5,1,5,1
L'arbore di Diana,7,1,6,1
L'eroe cinese,1,1,1,1
L'imbroglio delle tre spose,2,1,2,1
L'Olimpiade,2,1,2,1
L’incognita perseguitata,1,1,1,1
La buona figliuola,4,1,3,1
La cifra,6,1,5,1
La clemenza di Tito,7,1,6,1
La finta giardiniera,4,1,4,1
La forza delle donne,4,1,4,1
La locanda,2,1,2,1
La roccia di Frauenstein,1,1,1,1
La scuola de' gelosi,2,1,2,1
La scuola dei maritati,5,1,5,1
La vanità delusa,1,1,1,1
Le nozze di Figaro,7,1,6,1
Lo sposo disperato,3,1,2,1
Nitteti,3,2,2,1
Olimpiade,4,3,3,1
Saffo,1,1,1,1
Semiramide,3,1,3,1
Tancredi,2,1,2,1
Telemaco nell'isola di Calipso,1,1,1,1
Una cosa rara,13,1,11,1
