housenumber,street,postcode,city,state,country
NA,NA,NA,Sankt Petersburg,NA,Russland
NA,NA,NA,Venezia,NA,Italien
NA,NA,NA,Dresden,NA,Deutschland
NA,NA,NA,Hamburg,NA,Deutschland
NA,NA,NA,Padova,NA,Italien
NA,NA,NA,Napoli,NA,Italien
NA,NA,NA,Roma,NA,Italien
NA,NA,NA,Bologna,NA,Italien
NA,NA,NA,Torino,NA,Italien
NA,NA,NA,Weimar,NA,Deutschland
NA,NA,NA,Bonn,NA,Deutschland
NA,NA,NA,Paris,NA,Frankreich
NA,NA,NA,Braunschweig,NA,Deutschland
NA,NA,NA,Wien,NA,Oesterreich
NA,NA,NA,Genova,NA,Italien
NA,NA,NA,Breslau,NA,Polen
NA,NA,NA,Donaueschingen,NA,Deutschland
NA,NA,NA,Osnabrück,NA,Deutschland
NA,NA,NA,Dessau,NA,Deutschalnd
NA,NA,NA,Praha,NA,Tschechien
NA,NA,NA,Amsterdam,NA,Niederlande
NA,NA,NA,Verona,NA,Italien
NA,NA,NA,Valletta,NA,Malta
NA,NA,NA,Milano,NA,Italien
NA,NA,NA,Ravenna,NA,Italien
NA,NA,NA,Frankfurt am Main,NA,Deutschland
NA,NA,NA,Leipzig,NA,Deutschland
NA,NA,NA,Pillnitz,NA,Deutschland
NA,NA,NA,Detmold,NA,Deutschland
NA,NA,NA,Puschkin,NA,Russland
NA,NA,NA,Firenze,NA,Italien
NA,NA,NA,Graz,NA,Oesterreich
NA,NA,NA,Castelnuovo,NA,Italien
NA,NA,NA,Salzburg,NA,Oesterreich
NA,NA,NA,Regensburg,NA,Deutschland
NA,NA,NA,Vicenza,NA,Italien
NA,NA,NA,Hannover,NA,Deutschland
NA,NA,NA,Bad Lauchstädt,NA,Deutschland
NA,NA,NA,Karlsruhe,NA,Deutschland
NA,NA,NA,London,NA,England
NA,NA,NA,Udine,NA,Italien
NA,NA,NA,Potsdam,NA,Deutschland
NA,NA,NA,Faenza,NA,Italien
